Country,Year,Food_Category,Total_Waste_Tons,Economic_Loss_Million_USD,Avg_Waste_per_Capita_Kg,Population_Million,Household_Waste_Pct,Continent,Industrial_Waste_Pct
Turkey,2024,Beverages,28825.21,"$30,502.34",107.12,537.8,54.10,Asia,45.9
Saudi Arabia,2023,Meat & Seafood,47231.97,"$53,421.64",109.68,1275.1,64.23,Asia,35.77
Japan,2021,Bakery Items,40472.73,"$33,719.67",109.15,1009.2,57.66,Asia,42.34
Turkey,2023,Dairy Products,22963.66,"$24,723.96",105.70,1265.0,30.80,Asia,69.2
Indonesia,2022,Bakery Items,47937.02,"$39,218.60",164.71,953.5,38.55,Asia,61.45
South Korea,2020,Beverages,12428.80,"$12,685.51",99.23,1064.3,57.19,Asia,42.81
Germany,2021,Frozen Food,18157.79,"$16,818.65",186.62,289.5,67.95,Europe,32.05
Canada,2019,Grains & Cereals,9450.08,"$8,058.23",54.77,731.9,38.62,North America,61.38
Spain,2019,Frozen Food,35747.35,"$38,945.32",147.61,1287.7,33.17,Europe,66.83
South Korea,2023,Beverages,27610.31,"$27,250.78",141.58,444.9,48.76,Asia,51.24
Indonesia,2018,Fruits & Vegetables,33348.24,"$32,688.80",92.00,866.8,39.45,Asia,60.55
Russia,2018,Bakery Items,35404.45,"$34,573.33",52.83,1114.9,67.24,Europe,32.76
USA,2022,Meat & Seafood,35709.12,"$34,134.17",141.90,57.6,46.73,North America,53.27
Italy,2024,Fruits & Vegetables,25148.53,"$26,580.93",96.84,1373.8,61.78,Europe,38.22
Australia,2019,Prepared Food,40257.45,"$42,998.94",145.47,92.3,30.33,Oceania,69.67
Canada,2022,Bakery Items,32266.14,"$28,182.03",62.43,618.7,61.01,North America,38.99
Brazil,2019,Beverages,27129.87,"$25,612.86",68.38,719.7,60.48,South America,39.52
Germany,2018,Bakery Items,42434.63,"$42,409.63",59.74,1297.0,58.14,Europe,41.86
UK,2024,Meat & Seafood,4897.73,"$3,924.03",164.04,1066.6,38.14,Europe,61.86
Italy,2018,Fruits & Vegetables,6845.55,"$6,342.00",140.04,1351.4,58.73,Europe,41.27
Spain,2019,Meat & Seafood,44700.35,"$45,771.57",55.69,561.9,65.24,Europe,34.76
Italy,2021,Bakery Items,7244.15,"$5,905.22",119.33,683.0,55.79,Europe,44.21
UK,2022,Fruits & Vegetables,33854.23,"$30,364.97",82.99,510.2,36.84,Europe,63.16
China,2022,Fruits & Vegetables,44291.93,"$47,222.04",70.22,100.0,50.39,Asia,49.61
Japan,2019,Dairy Products,32886.27,"$38,702.18",199.40,866.9,39.90,Asia,60.1
Canada,2019,Dairy Products,43730.86,"$35,135.24",134.63,1021.4,32.51,North America,67.49
France,2023,Fruits & Vegetables,42584.45,"$34,687.74",190.89,671.2,66.02,Europe,33.98
Russia,2022,Beverages,14279.35,"$12,857.60",69.69,962.0,32.31,Europe,67.69
France,2018,Fruits & Vegetables,8482.02,"$9,641.15",127.48,1276.3,51.75,Europe,48.25
India,2023,Prepared Food,12889.02,"$12,044.44",25.54,920.0,34.98,Asia,65.02
Indonesia,2018,Prepared Food,26522.14,"$21,329.27",36.95,1084.6,34.31,Asia,65.69
Argentina,2023,Meat & Seafood,12996.10,"$10,791.47",176.69,1219.3,32.00,South America,68
Australia,2018,Prepared Food,10234.38,"$10,925.55",75.30,1328.1,47.38,Oceania,52.62
Germany,2019,Fruits & Vegetables,11503.27,"$12,818.40",116.23,988.0,35.29,Europe,64.71
Indonesia,2020,Fruits & Vegetables,24515.11,"$26,391.04",156.80,257.7,56.47,Asia,43.53
Japan,2020,Grains & Cereals,23708.54,"$21,422.03",25.93,999.0,50.86,Asia,49.14
Spain,2019,Meat & Seafood,35215.19,"$30,350.95",97.75,187.2,67.78,Europe,32.22
Japan,2018,Dairy Products,5983.65,"$6,409.36",103.06,850.2,32.38,Asia,67.62
South Korea,2019,Frozen Food,46830.94,"$53,089.00",109.93,1313.4,37.93,Asia,62.07
Germany,2023,Dairy Products,39640.67,"$45,257.90",172.04,884.9,44.74,Europe,55.26
Spain,2024,Bakery Items,40774.51,"$40,166.64",170.80,418.7,31.65,Europe,68.35
Indonesia,2018,Dairy Products,12446.82,"$13,000.65",96.34,1061.4,68.43,Asia,31.57
Australia,2021,Grains & Cereals,26079.42,"$25,803.49",160.44,97.8,35.69,Oceania,64.31
Italy,2024,Prepared Food,17805.95,"$14,344.08",98.43,737.9,59.02,Europe,40.98
UK,2024,Fruits & Vegetables,1770.01,"$1,586.60",124.12,465.5,36.50,Europe,63.5
Germany,2020,Bakery Items,42605.03,"$41,963.21",164.67,850.2,60.56,Europe,39.44
Italy,2020,Meat & Seafood,47037.46,"$37,722.96",35.83,63.4,69.99,Europe,30.01
Brazil,2019,Bakery Items,11535.53,"$11,122.14",137.86,1393.6,51.71,South America,48.29
Brazil,2022,Frozen Food,2544.85,"$2,094.59",54.43,158.8,50.68,South America,49.32
China,2024,Frozen Food,44571.72,"$38,799.41",64.52,265.2,36.46,Asia,63.54
Germany,2023,Dairy Products,34265.32,"$31,824.29",36.36,86.0,57.52,Europe,42.48
Argentina,2018,Beverages,30869.97,"$27,152.97",81.00,637.9,53.46,South America,46.54
China,2022,Meat & Seafood,46425.16,"$51,894.08",119.52,1232.3,32.77,Asia,67.23
Argentina,2018,Grains & Cereals,15983.89,"$13,743.01",118.51,613.6,44.39,South America,55.61
South Africa,2024,Dairy Products,37272.33,"$36,169.50",164.31,221.7,64.28,Africa,35.72
Spain,2022,Bakery Items,38743.72,"$34,924.65",175.76,906.7,52.60,Europe,47.4
India,2023,Prepared Food,22824.99,"$21,668.59",69.44,965.1,62.27,Asia,37.73
Australia,2019,Dairy Products,47790.70,"$44,900.90",55.76,724.2,54.20,Oceania,45.8
UK,2021,Prepared Food,2385.30,"$2,575.00",81.73,340.8,31.40,Europe,68.6
UK,2021,Frozen Food,17123.97,"$18,075.66",26.65,893.0,69.75,Europe,30.25
USA,2019,Fruits & Vegetables,25898.10,"$27,122.01",167.21,1088.0,48.62,North America,51.38
UK,2020,Meat & Seafood,37962.20,"$38,039.76",105.57,1118.2,45.18,Europe,54.82
Germany,2023,Fruits & Vegetables,11793.70,"$14,057.41",186.27,1086.4,60.27,Europe,39.73
Canada,2018,Grains & Cereals,40578.72,"$40,705.86",79.65,1284.3,56.10,North America,43.9
China,2020,Bakery Items,635.89,$678.39,121.86,1100.5,44.20,Asia,55.8
South Korea,2024,Frozen Food,44274.37,"$48,037.82",93.24,635.7,43.19,Asia,56.81
Spain,2022,Bakery Items,18914.73,"$17,461.66",141.39,953.4,60.57,Europe,39.43
China,2022,Frozen Food,43403.34,"$50,453.95",121.87,609.9,51.11,Asia,48.89
Mexico,2022,Fruits & Vegetables,13377.20,"$13,169.52",124.92,233.4,48.27,North America,51.73
Mexico,2018,Frozen Food,6676.42,"$5,689.53",47.56,273.0,64.83,North America,35.17
Japan,2021,Frozen Food,48272.56,"$45,655.35",146.66,236.1,65.57,Asia,34.43
India,2020,Meat & Seafood,16124.59,"$13,779.36",122.51,1370.0,37.96,Asia,62.04
UK,2024,Beverages,28410.76,"$27,734.23",139.37,582.0,59.77,Europe,40.23
France,2020,Grains & Cereals,46292.03,"$47,192.54",86.61,48.7,60.90,Europe,39.1
South Korea,2018,Fruits & Vegetables,43517.47,"$39,926.28",175.83,701.3,32.49,Asia,67.51
Germany,2018,Dairy Products,19101.73,"$21,537.88",81.45,87.6,60.12,Europe,39.88
Argentina,2022,Frozen Food,13620.65,"$11,080.62",42.48,625.3,32.53,South America,67.47
Russia,2018,Bakery Items,38704.63,"$45,379.18",144.29,56.1,58.94,Europe,41.06
Australia,2018,Fruits & Vegetables,18097.21,"$18,489.13",39.50,197.6,59.64,Oceania,40.36
South Korea,2021,Beverages,23393.34,"$25,594.24",101.54,374.3,31.59,Asia,68.41
Indonesia,2023,Bakery Items,46548.17,"$38,763.17",78.95,21.8,65.04,Asia,34.96
Italy,2022,Fruits & Vegetables,15570.99,"$18,315.75",189.25,164.5,36.89,Europe,63.11
Germany,2023,Prepared Food,15781.53,"$15,316.49",87.81,1354.7,41.74,Europe,58.26
Brazil,2020,Frozen Food,41933.58,"$39,978.85",100.94,122.9,65.73,South America,34.27
South Africa,2018,Dairy Products,31464.15,"$29,967.55",152.92,844.1,57.66,Africa,42.34
South Korea,2024,Grains & Cereals,45096.37,"$36,342.17",142.82,663.2,42.10,Asia,57.9
Argentina,2022,Fruits & Vegetables,34127.57,"$38,894.66",178.13,1044.3,41.80,South America,58.2
India,2023,Beverages,36185.23,"$35,302.89",54.87,1187.7,69.36,Asia,30.64
USA,2022,Fruits & Vegetables,37308.22,"$35,650.72",38.46,993.5,48.88,North America,51.12
Russia,2022,Prepared Food,26371.71,"$29,653.89",101.13,549.3,69.63,Europe,30.37
Turkey,2023,Dairy Products,49901.29,"$58,558.02",140.66,772.8,37.36,Asia,62.64
Saudi Arabia,2023,Frozen Food,24337.90,"$28,971.13",180.03,1116.7,55.66,Asia,44.34
South Africa,2023,Frozen Food,43003.80,"$37,348.25",116.74,711.7,54.90,Africa,45.1
Russia,2018,Beverages,46460.21,"$46,687.14",23.32,596.4,31.19,Europe,68.81
Spain,2020,Beverages,37089.10,"$42,160.67",163.28,1376.9,69.25,Europe,30.75
Spain,2019,Fruits & Vegetables,32733.05,"$27,650.11",184.63,293.7,69.09,Europe,30.91
China,2024,Dairy Products,41378.19,"$49,135.69",129.79,304.4,34.31,Asia,65.69
Mexico,2023,Dairy Products,3279.54,"$2,827.11",136.78,1203.5,51.79,North America,48.21
Russia,2021,Bakery Items,9245.76,"$10,467.85",158.44,60.5,46.22,Europe,53.78
South Africa,2024,Meat & Seafood,27306.53,"$29,348.47",170.03,1050.3,69.87,Africa,30.13
China,2022,Fruits & Vegetables,6956.39,"$8,270.97",53.14,1079.9,44.37,Asia,55.63
China,2023,Bakery Items,38641.38,"$34,253.48",174.90,305.3,67.81,Asia,32.19
Mexico,2023,Dairy Products,6420.44,"$6,483.50",58.89,806.8,49.29,North America,50.71
Japan,2019,Dairy Products,31365.78,"$33,290.07",101.50,1356.1,52.29,Asia,47.71
Australia,2020,Meat & Seafood,44121.24,"$51,283.18",105.84,894.0,66.38,Oceania,33.62
France,2022,Bakery Items,4249.76,"$3,658.99",188.54,1375.5,34.06,Europe,65.94
USA,2020,Prepared Food,10222.14,"$10,349.68",179.42,409.9,41.64,North America,58.36
UK,2022,Beverages,3352.93,"$3,963.47",74.94,452.8,43.26,Europe,56.74
Canada,2021,Dairy Products,39058.87,"$43,276.88",77.30,652.9,53.19,North America,46.81
Indonesia,2018,Bakery Items,963.49,"$1,122.61",160.65,716.9,56.58,Asia,43.42
South Africa,2020,Bakery Items,40210.55,"$46,764.79",67.10,479.0,35.47,Africa,64.53
Mexico,2023,Prepared Food,1194.85,"$1,136.47",177.31,530.9,38.71,North America,61.29
Turkey,2021,Beverages,21591.78,"$19,703.87",27.28,261.5,39.15,Asia,60.85
Saudi Arabia,2024,Dairy Products,20831.11,"$23,262.24",24.05,736.9,46.48,Asia,53.52
Spain,2022,Prepared Food,27503.07,"$32,988.39",192.10,936.5,57.31,Europe,42.69
Turkey,2019,Dairy Products,18122.16,"$18,313.09",96.17,109.8,39.52,Asia,60.48
India,2024,Prepared Food,19680.23,"$23,231.43",48.72,1379.7,50.77,Asia,49.23
Brazil,2024,Bakery Items,3712.67,"$3,865.38",29.77,1288.2,61.34,South America,38.66
Indonesia,2022,Dairy Products,28840.44,"$25,910.74",102.04,948.2,36.51,Asia,63.49
France,2020,Beverages,17482.83,"$19,230.97",108.82,1026.0,31.97,Europe,68.03
Russia,2019,Dairy Products,15722.18,"$18,293.46",185.85,665.0,65.50,Europe,34.5
South Africa,2024,Dairy Products,15408.50,"$13,885.66",170.36,650.0,40.99,Africa,59.01
Italy,2018,Prepared Food,44615.67,"$37,861.26",100.18,1208.3,51.42,Europe,48.58
Argentina,2020,Meat & Seafood,19362.33,"$17,907.89",70.46,1263.4,49.73,South America,50.27
Japan,2023,Grains & Cereals,6480.74,"$5,694.10",25.66,479.5,42.73,Asia,57.27
Germany,2024,Fruits & Vegetables,6620.95,"$7,772.36",71.95,707.7,45.88,Europe,54.12
Brazil,2024,Frozen Food,29138.47,"$29,241.06",119.04,562.3,45.59,South America,54.41
Australia,2019,Frozen Food,24871.75,"$25,714.31",76.85,462.9,52.14,Oceania,47.86
Italy,2023,Prepared Food,10434.59,"$10,683.60",47.91,77.2,61.28,Europe,38.72
Italy,2024,Prepared Food,19679.93,"$17,477.72",194.07,318.4,48.81,Europe,51.19
Spain,2020,Frozen Food,31292.11,"$31,166.48",50.94,940.6,56.71,Europe,43.29
South Africa,2020,Grains & Cereals,8014.57,"$9,081.71",132.83,245.2,30.88,Africa,69.12
South Africa,2018,Meat & Seafood,34522.22,"$37,162.44",184.71,45.1,39.72,Africa,60.28
Turkey,2022,Fruits & Vegetables,38945.29,"$39,970.75",78.25,643.4,62.42,Asia,37.58
Spain,2020,Bakery Items,3359.40,"$3,254.51",49.07,94.2,44.03,Europe,55.97
Germany,2018,Dairy Products,15837.57,"$18,226.46",197.41,1291.9,55.19,Europe,44.81
China,2022,Prepared Food,25645.86,"$20,939.16",87.21,1036.5,66.56,Asia,33.44
India,2019,Beverages,34989.80,"$38,796.37",191.70,124.3,62.20,Asia,37.8
Argentina,2019,Fruits & Vegetables,21200.77,"$22,369.70",135.98,680.0,69.09,South America,30.91
Spain,2024,Meat & Seafood,24233.58,"$23,642.65",152.56,439.8,32.11,Europe,67.89
Saudi Arabia,2024,Meat & Seafood,1431.67,"$1,583.08",164.46,715.2,46.57,Asia,53.43
Germany,2024,Grains & Cereals,31978.88,"$28,163.85",40.76,958.5,59.34,Europe,40.66
Brazil,2024,Grains & Cereals,46528.85,"$37,983.77",95.75,1113.8,44.13,South America,55.87
France,2022,Grains & Cereals,12831.68,"$10,856.01",187.33,247.3,49.36,Europe,50.64
Russia,2024,Meat & Seafood,14892.13,"$13,964.05",60.85,835.2,63.38,Europe,36.62
South Korea,2019,Frozen Food,9612.38,"$8,521.30",78.14,605.3,44.15,Asia,55.85
UK,2020,Dairy Products,20881.02,"$22,847.14",21.23,662.3,51.31,Europe,48.69
South Korea,2020,Prepared Food,1570.43,"$1,843.92",110.22,1340.8,34.67,Asia,65.33
Japan,2024,Prepared Food,42632.27,"$34,780.26",34.82,88.9,58.32,Asia,41.68
China,2021,Beverages,28262.79,"$28,932.61",144.48,972.5,65.87,Asia,34.13
South Korea,2021,Beverages,31719.67,"$37,838.41",95.35,1227.4,63.17,Asia,36.83
Spain,2021,Bakery Items,10185.04,"$9,179.73",143.16,1078.2,62.78,Europe,37.22
Argentina,2020,Bakery Items,43351.26,"$50,858.44",182.61,51.4,55.20,South America,44.8
Brazil,2020,Meat & Seafood,13944.64,"$11,161.72",110.98,598.2,49.07,South America,50.93
Russia,2022,Meat & Seafood,27577.58,"$22,782.98",71.64,608.5,54.86,Europe,45.14
Brazil,2019,Beverages,12138.65,"$12,670.28",71.54,967.8,63.31,South America,36.69
South Africa,2021,Grains & Cereals,10506.60,"$9,369.75",103.14,516.9,68.79,Africa,31.21
Australia,2018,Frozen Food,8658.90,"$7,370.51",37.19,843.1,41.63,Oceania,58.37
Brazil,2024,Grains & Cereals,4554.03,"$4,992.48",27.30,1104.7,45.99,South America,54.01
Spain,2018,Fruits & Vegetables,23035.88,"$27,523.54",29.54,423.4,69.55,Europe,30.45
Turkey,2019,Fruits & Vegetables,39660.87,"$39,971.88",72.15,292.1,68.57,Asia,31.43
Argentina,2021,Beverages,38840.33,"$40,716.92",57.45,1204.6,49.42,South America,50.58
Saudi Arabia,2019,Prepared Food,5258.84,"$6,263.31",186.54,387.0,55.82,Asia,44.18
Australia,2022,Fruits & Vegetables,44744.89,"$37,652.47",114.65,23.9,33.19,Oceania,66.81
Italy,2022,Meat & Seafood,27169.47,"$27,439.48",157.77,1326.8,66.28,Europe,33.72
Canada,2018,Bakery Items,1364.91,"$1,573.30",160.05,509.1,67.73,North America,32.27
UK,2018,Frozen Food,12027.45,"$10,887.03",96.28,1061.1,30.07,Europe,69.93
Germany,2022,Frozen Food,23099.58,"$25,032.75",162.46,543.4,58.07,Europe,41.93
Italy,2023,Bakery Items,35870.23,"$36,198.08",165.96,538.4,37.73,Europe,62.27
South Africa,2020,Prepared Food,37937.77,"$31,837.45",65.96,270.3,48.05,Africa,51.95
Saudi Arabia,2020,Grains & Cereals,14500.05,"$15,252.22",107.18,65.1,54.54,Asia,45.46
Brazil,2023,Meat & Seafood,42648.40,"$45,802.88",113.25,913.5,32.22,South America,67.78
Mexico,2019,Meat & Seafood,1423.10,"$1,576.37",173.09,590.4,33.92,North America,66.08
South Africa,2023,Beverages,20008.20,"$18,401.35",169.33,84.6,51.57,Africa,48.43
Argentina,2023,Bakery Items,40238.94,"$44,387.84",119.80,289.1,57.56,South America,42.44
Indonesia,2021,Frozen Food,21420.18,"$23,267.72",30.97,496.7,66.85,Asia,33.15
China,2019,Prepared Food,31662.74,"$31,216.38",114.45,1307.1,57.89,Asia,42.11
Spain,2024,Prepared Food,17664.69,"$17,838.92",93.64,1029.1,58.23,Europe,41.77
Canada,2021,Bakery Items,24275.57,"$23,476.97",196.30,1066.4,61.56,North America,38.44
Spain,2024,Beverages,41075.85,"$43,800.00",104.10,1221.3,44.81,Europe,55.19
China,2021,Bakery Items,5979.53,"$5,722.67",168.32,349.7,42.98,Asia,57.02
Italy,2024,Dairy Products,1115.30,"$1,284.47",90.67,912.7,61.24,Europe,38.76
France,2018,Grains & Cereals,16866.86,"$18,795.51",57.42,1157.3,67.84,Europe,32.16
Australia,2019,Fruits & Vegetables,26050.39,"$25,969.88",149.50,1018.9,34.69,Oceania,65.31
South Africa,2022,Beverages,28529.39,"$26,199.69",64.18,1060.6,39.56,Africa,60.44
USA,2024,Beverages,28584.45,"$28,500.76",171.68,1002.0,43.86,North America,56.14
Russia,2018,Bakery Items,11192.81,"$10,911.49",116.30,1001.0,67.97,Europe,32.03
Mexico,2022,Dairy Products,5170.01,"$6,192.15",141.83,911.3,35.81,North America,64.19
Germany,2023,Prepared Food,18111.13,"$20,384.84",153.77,244.7,49.65,Europe,50.35
Spain,2022,Dairy Products,8499.64,"$8,074.29",97.02,1353.2,40.54,Europe,59.46
South Africa,2022,Prepared Food,12719.37,"$12,611.99",129.64,524.8,51.47,Africa,48.53
Turkey,2019,Prepared Food,44554.35,"$43,230.52",27.55,48.1,65.45,Asia,34.55
South Africa,2024,Bakery Items,31998.09,"$25,693.59",196.25,309.6,30.87,Africa,69.13
Argentina,2024,Prepared Food,13074.51,"$14,667.30",110.13,549.6,63.09,South America,36.91
China,2018,Bakery Items,24699.17,"$29,320.94",35.38,531.4,51.94,Asia,48.06
Saudi Arabia,2020,Frozen Food,30645.38,"$30,122.45",197.42,1100.5,61.06,Asia,38.94
Saudi Arabia,2021,Frozen Food,23526.64,"$23,209.94",87.44,1162.7,52.83,Asia,47.17
USA,2020,Grains & Cereals,16008.15,"$13,462.80",22.08,1281.1,58.04,North America,41.96
Saudi Arabia,2018,Meat & Seafood,38108.26,"$40,154.24",27.27,1328.6,40.20,Asia,59.8
UK,2023,Prepared Food,21672.82,"$24,875.84",98.25,192.8,35.49,Europe,64.51
Brazil,2023,Meat & Seafood,41472.17,"$35,977.69",151.85,615.0,42.41,South America,57.59
Spain,2022,Bakery Items,9297.42,"$8,204.09",185.11,63.2,66.39,Europe,33.61
Indonesia,2018,Grains & Cereals,10632.45,"$9,498.71",141.98,124.1,69.40,Asia,30.6
Mexico,2020,Grains & Cereals,32068.51,"$30,062.40",165.92,976.1,38.01,North America,61.99
Argentina,2020,Beverages,49889.66,"$44,810.88",133.00,845.6,69.54,South America,30.46
Saudi Arabia,2022,Beverages,15774.47,"$15,802.45",175.73,1024.4,58.37,Asia,41.63
Turkey,2020,Meat & Seafood,22518.03,"$19,261.94",61.51,995.2,33.52,Asia,66.48
USA,2019,Fruits & Vegetables,41480.75,"$48,148.62",193.84,487.3,41.93,North America,58.07
Italy,2019,Prepared Food,39733.30,"$45,838.23",100.50,901.0,49.16,Europe,50.84
Spain,2020,Prepared Food,31158.61,"$27,947.03",54.36,1311.5,48.24,Europe,51.76
UK,2024,Meat & Seafood,17844.40,"$14,300.73",77.12,1234.5,42.94,Europe,57.06
Indonesia,2021,Frozen Food,1692.54,"$1,448.29",185.96,709.1,69.10,Asia,30.9
Turkey,2020,Prepared Food,45437.92,"$48,138.04",93.10,862.9,36.54,Asia,63.46
Russia,2021,Frozen Food,39673.80,"$40,251.01",79.33,796.5,52.15,Europe,47.85
Japan,2018,Prepared Food,29800.32,"$26,749.98",115.49,1134.6,60.36,Asia,39.64
India,2021,Grains & Cereals,21702.46,"$20,170.87",155.54,1236.5,66.90,Asia,33.1
Argentina,2024,Fruits & Vegetables,37037.13,"$37,620.57",26.79,101.9,41.65,South America,58.35
Indonesia,2023,Fruits & Vegetables,21279.19,"$22,604.89",160.58,362.5,34.14,Asia,65.86
UK,2022,Meat & Seafood,10858.33,"$11,545.39",167.61,1338.7,60.65,Europe,39.35
Japan,2024,Beverages,35367.51,"$35,898.89",47.67,687.0,35.40,Asia,64.6
Italy,2019,Dairy Products,41606.20,"$41,819.33",44.52,462.2,44.30,Europe,55.7
South Korea,2020,Beverages,5791.28,"$6,210.37",78.10,668.5,47.48,Asia,52.52
Indonesia,2020,Meat & Seafood,1562.07,"$1,350.58",131.14,95.7,69.96,Asia,30.04
Saudi Arabia,2021,Bakery Items,10641.86,"$11,210.10",172.14,377.2,42.85,Asia,57.15
Russia,2018,Beverages,20985.41,"$17,724.53",103.40,724.7,49.48,Europe,50.52
UK,2023,Dairy Products,20877.01,"$22,489.55",83.03,786.7,30.15,Europe,69.85
Canada,2021,Meat & Seafood,37061.96,"$39,742.98",156.63,961.6,51.20,North America,48.8
Argentina,2018,Beverages,40365.61,"$41,840.24",188.93,81.9,34.15,South America,65.85
Japan,2023,Prepared Food,44053.48,"$44,075.72",33.34,1388.7,61.32,Asia,38.68
Argentina,2019,Frozen Food,12416.76,"$14,595.25",40.72,926.2,36.97,South America,63.03
Spain,2024,Meat & Seafood,18123.51,"$20,935.21",44.60,556.7,30.86,Europe,69.14
UK,2022,Meat & Seafood,11038.81,"$11,671.56",117.63,494.4,39.87,Europe,60.13
Turkey,2018,Grains & Cereals,41812.39,"$46,816.13",54.38,1161.0,42.29,Asia,57.71
China,2019,Dairy Products,23452.17,"$25,246.16",134.02,473.9,36.27,Asia,63.73
France,2024,Frozen Food,33109.85,"$39,031.62",164.41,1151.6,64.99,Europe,35.01
Argentina,2019,Beverages,20628.73,"$19,286.35",141.78,1242.2,56.52,South America,43.48
South Africa,2021,Meat & Seafood,14380.68,"$15,473.80",113.40,307.5,45.62,Africa,54.38
Germany,2020,Prepared Food,13442.75,"$12,803.26",183.72,770.1,69.80,Europe,30.2
Saudi Arabia,2018,Dairy Products,27893.67,"$33,292.57",64.06,208.0,41.17,Asia,58.83
Indonesia,2024,Fruits & Vegetables,38628.78,"$39,024.03",79.19,1067.2,62.70,Asia,37.3
USA,2023,Bakery Items,39056.25,"$37,705.58",156.16,338.0,32.47,North America,67.53
Brazil,2024,Grains & Cereals,27207.95,"$27,249.53",151.93,153.9,43.24,South America,56.76
France,2022,Fruits & Vegetables,35777.37,"$41,960.35",101.92,690.5,65.48,Europe,34.52
USA,2019,Grains & Cereals,33613.39,"$39,214.03",83.40,913.2,60.67,North America,39.33
Russia,2022,Bakery Items,25136.24,"$23,880.07",162.68,663.0,55.93,Europe,44.07
Spain,2023,Dairy Products,45066.36,"$43,571.49",198.87,376.2,64.61,Europe,35.39
Germany,2021,Prepared Food,13639.74,"$13,476.61",136.82,899.9,33.12,Europe,66.88
South Africa,2018,Dairy Products,2037.72,"$1,638.94",122.26,773.9,51.54,Africa,48.46
Argentina,2024,Beverages,23393.96,"$24,355.11",109.23,108.6,69.81,South America,30.19
Russia,2020,Bakery Items,48587.30,"$50,551.02",97.06,951.5,47.97,Europe,52.03
Indonesia,2024,Frozen Food,15863.75,"$14,755.62",94.25,898.2,55.75,Asia,44.25
South Africa,2024,Grains & Cereals,44128.03,"$42,983.40",50.66,992.5,61.83,Africa,38.17
Italy,2021,Beverages,26268.93,"$30,109.97",78.20,621.5,33.76,Europe,66.24
Brazil,2023,Grains & Cereals,47791.81,"$47,489.10",62.64,721.9,34.17,South America,65.83
Russia,2019,Grains & Cereals,14994.51,"$16,037.43",93.43,187.3,56.85,Europe,43.15
South Africa,2024,Bakery Items,15262.77,"$14,992.95",190.44,1284.1,47.19,Africa,52.81
Russia,2024,Meat & Seafood,45746.48,"$52,728.75",75.63,311.7,50.13,Europe,49.87
UK,2020,Prepared Food,44256.46,"$43,115.91",197.67,47.8,56.49,Europe,43.51
Russia,2018,Frozen Food,46669.86,"$51,765.40",20.85,724.5,32.07,Europe,67.93
Brazil,2022,Frozen Food,4987.56,"$4,933.79",144.57,459.5,57.33,South America,42.67
South Africa,2023,Bakery Items,24515.74,"$28,891.78",150.78,514.8,56.84,Africa,43.16
Mexico,2018,Grains & Cereals,25406.19,"$23,066.90",85.49,513.5,53.52,North America,46.48
South Korea,2019,Dairy Products,36269.09,"$36,585.01",106.24,1033.5,47.25,Asia,52.75
South Korea,2020,Frozen Food,28400.85,"$25,628.63",148.97,72.2,47.92,Asia,52.08
Mexico,2020,Meat & Seafood,39391.77,"$46,155.48",117.33,1364.5,34.17,North America,65.83
South Korea,2019,Dairy Products,46537.20,"$54,095.34",71.02,164.0,66.84,Asia,33.16
Turkey,2023,Dairy Products,9784.34,"$10,088.25",43.80,201.2,42.26,Asia,57.74
Australia,2020,Bakery Items,18268.34,"$19,207.28",80.37,119.0,30.59,Oceania,69.41
India,2020,Grains & Cereals,29742.34,"$32,808.63",128.84,456.3,65.80,Asia,34.2
South Africa,2019,Grains & Cereals,44080.31,"$47,663.04",191.10,789.9,32.31,Africa,67.69
Australia,2024,Prepared Food,43312.69,"$36,537.57",125.00,275.3,44.99,Oceania,55.01
Indonesia,2019,Fruits & Vegetables,49686.06,"$52,016.48",59.91,363.5,53.82,Asia,46.18
USA,2022,Beverages,506.76,$489.15,149.12,569.0,59.39,North America,40.61
Russia,2019,Beverages,27203.40,"$22,480.38",144.08,1248.6,38.87,Europe,61.13
Indonesia,2024,Grains & Cereals,20707.63,"$22,686.73",165.69,1269.5,39.46,Asia,60.54
Argentina,2020,Grains & Cereals,3823.19,"$3,899.25",75.29,477.7,40.53,South America,59.47
India,2022,Grains & Cereals,8699.68,"$8,021.62",44.52,760.5,68.35,Asia,31.65
Saudi Arabia,2023,Prepared Food,3605.46,"$4,044.41",45.06,485.0,45.71,Asia,54.29
Indonesia,2020,Fruits & Vegetables,20714.29,"$18,866.53",33.30,1197.6,58.27,Asia,41.73
Germany,2018,Bakery Items,42064.33,"$49,659.00",77.10,736.2,41.98,Europe,58.02
Spain,2020,Bakery Items,32115.20,"$30,832.53",109.72,505.7,51.29,Europe,48.71
Brazil,2018,Frozen Food,11715.38,"$11,968.61",176.68,220.0,49.92,South America,50.08
Spain,2019,Dairy Products,2135.08,"$1,776.23",69.37,330.0,49.02,Europe,50.98
France,2018,Prepared Food,19421.90,"$17,445.45",111.15,128.3,64.63,Europe,35.37
Brazil,2024,Prepared Food,29820.20,"$30,839.88",93.78,76.3,59.04,South America,40.96
South Korea,2020,Dairy Products,8609.98,"$7,648.11",94.45,578.3,59.43,Asia,40.57
USA,2021,Bakery Items,30491.00,"$28,714.08",75.76,574.7,62.53,North America,37.47
South Korea,2020,Bakery Items,15541.27,"$14,218.52",190.16,539.0,40.12,Asia,59.88
Turkey,2021,Bakery Items,41832.89,"$34,209.76",185.19,694.6,50.09,Asia,49.91
